suburb,sa4_area,crime_type,year,incident_count
Haymarket,N/A,Disorderly conduct,2024-2025,0.9583333333333334
Haymarket,N/A,Disorderly conduct,2024-2025,3.3333333333333335
Haymarket,N/A,Betting and gaming offences,2024-2025,0.0
Haymarket,N/A,Liquor offences,2024-2025,7.583333333333333
Haymarket,N/A,Pornography offences,2024-2025,0.041666666666666664
Haymarket,N/A,Against justice procedures,2024-2025,0.041666666666666664
Haymarket,N/A,Against justice procedures,2024-2025,3.2083333333333335
Haymarket,N/A,Against justice procedures,2024-2025,13.375
Haymarket,N/A,Against justice procedures,2024-2025,0.125
Haymarket,N/A,Against justice procedures,2024-2025,5.583333333333333
Haymarket,N/A,Against justice procedures,2024-2025,0.2916666666666667
Haymarket,N/A,Transport regulatory offences,2024-2025,243.08333333333334
Haymarket,N/A,Other offences,2024-2025,10.708333333333334
Newtown,N/A,Homicide,2024-2025,0.0
Newtown,N/A,Homicide,2024-2025,0.0
Newtown,N/A,Homicide,2024-2025,0.0
Newtown,N/A,Homicide,2024-2025,0.0
Newtown,N/A,Assault,2024-2025,5.208333333333333
Newtown,N/A,Assault,2024-2025,12.583333333333334
Newtown,N/A,Assault,2024-2025,1.2916666666666667
Newtown,N/A,Sexual offences,2024-2025,2.4166666666666665
Newtown,N/A,Sexual offences,2024-2025,2.1666666666666665
Newtown,N/A,Abduction and kidnapping,2024-2025,0.0
Newtown,N/A,Robbery,2024-2025,0.5833333333333334
Newtown,N/A,Robbery,2024-2025,0.041666666666666664
Newtown,N/A,Robbery,2024-2025,0.125
Newtown,N/A,Blackmail and extortion,2024-2025,0.3333333333333333
Newtown,N/A,Coercive Control,2024-2025,0.08333333333333333
Newtown,N/A,"Intimidation, stalking and harassment",2024-2025,7.791666666666667
Newtown,N/A,Other offences against the person,2024-2025,0.2916666666666667
Newtown,N/A,Theft,2024-2025,3.5833333333333335
Newtown,N/A,Theft,2024-2025,1.4583333333333333
Newtown,N/A,Theft,2024-2025,2.9583333333333335
Newtown,N/A,Theft,2024-2025,2.375
Newtown,N/A,Theft,2024-2025,3.75
Newtown,N/A,Theft,2024-2025,9.166666666666666
Newtown,N/A,Theft,2024-2025,7.666666666666667
Newtown,N/A,Theft,2024-2025,0.625
Newtown,N/A,Theft,2024-2025,0.0
Newtown,N/A,Theft,2024-2025,6.958333333333333
