suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
Naremburn,0.0291,4,5,0,1,1,0,1,8,6,1
Narrabeen,0.0966,18,16,2,3,0,1,0,25,18,2
Narraweena,0.0324,3,1,0,3,0,0,0,15,3,0
Narwee,0.037,2,1,0,3,0,0,0,17,7,0
Nelson,0.0,0,0,0,0,0,0,0,0,0,0
Neutral Bay,0.1005,15,30,0,2,1,2,0,26,2,2
Newington,0.04,3,2,0,1,0,0,0,20,3,0
Newport,0.0783,12,14,0,3,0,2,0,25,6,2
Newtown,0.1624,58,0,0,10,2,0,1,48,22,0
Niagara Park,0.0232,0,1,0,2,0,0,1,8,10,2
Nirimba Fields,0.0139,0,0,0,3,0,0,1,6,3,0
Normanhurst,0.0372,0,0,1,9,1,0,0,13,12,1
North Balgowlah,0.0173,0,0,0,4,0,0,0,7,4,1
North Bondi,0.1588,54,54,2,5,0,4,1,12,8,0
North Curl Curl,0.0186,3,2,0,3,0,0,0,5,2,2
North Epping,0.0206,2,2,0,1,0,0,0,8,4,0
North Gosford,0.0117,1,0,0,2,1,0,0,5,1,0
North Kellyville,0.0764,3,6,1,8,0,3,0,28,21,0
North Manly,0.0408,5,4,1,3,0,2,1,15,3,1
North Narrabeen,0.1221,21,17,4,4,0,2,0,34,23,3
North Parramatta,0.109,12,16,4,15,0,3,1,31,13,3
North Richmond,0.0573,6,7,1,3,1,0,0,19,13,0
North Rocks,0.0819,6,8,1,13,0,1,1,28,12,3
North Ryde,0.1148,15,11,1,10,1,3,1,37,21,4
North St Marys,0.0391,1,0,0,3,0,0,0,17,12,2
North Strathfield,0.0321,2,9,0,4,0,0,0,9,2,0
North Sydney,0.2188,48,53,9,12,1,5,2,44,12,3
North Turramurra,0.0622,2,3,0,6,1,2,0,26,14,1
North Wahroonga,0.0091,0,0,0,0,0,0,0,5,2,0
North Willoughby,0.0298,2,10,0,1,0,2,0,7,3,1
Northbridge,0.0332,6,3,0,2,0,0,1,11,6,0
Northmead,0.104,7,5,0,9,2,1,0,43,21,1
Northwood,0.005,0,0,0,1,1,0,0,2,1,0
Norwest,0.037,1,4,0,3,1,0,0,15,5,2
Oakhurst,0.0466,0,0,0,4,0,0,0,22,14,0
Oakville,0.0244,0,0,0,5,0,0,0,11,4,1
Oatlands,0.0351,0,1,0,7,0,1,0,15,5,2
Oatley,0.1121,11,5,1,6,0,2,1,47,21,0
Old Guildford,0.0107,0,0,1,2,0,0,0,4,3,0
Old Toongabbie,0.0176,0,0,0,4,1,0,1,6,7,0
Oran Park,0.0795,3,4,2,7,0,0,1,32,20,1
Orchard Hills,0.1301,3,3,1,13,0,1,0,62,21,1
Ourimbah,0.0726,9,7,3,7,0,1,1,23,13,1
Oxford Falls,0.0296,1,0,0,2,0,0,1,13,7,3
Oxley Park,0.0123,0,0,0,2,0,0,0,6,2,0
Oyster Bay,0.0318,1,0,0,5,0,1,0,14,7,0
Paddington,0.1832,55,42,0,5,3,4,2,33,15,2
Padstow,0.0879,10,15,3,6,1,3,1,25,14,1
Padstow Heights,0.0173,1,0,0,1,0,0,0,9,2,0
Pagewood,0.0551,9,1,0,6,0,0,1,20,11,1
Palm Beach,0.0293,4,3,1,0,0,0,0,12,2,0
Panania,0.0852,2,3,0,8,0,3,1,36,23,1
Parklea,0.02,2,6,0,0,0,0,1,4,4,2
Parramatta,0.4468,90,149,14,17,3,12,7,67,28,6
Patonga,0.0214,0,1,0,0,0,0,0,10,7,0
Peakhurst,0.0819,3,8,1,5,0,2,0,32,19,1
Peakhurst Heights,0.0156,1,0,0,2,0,0,0,7,3,0
Pearl Beach,0.005,0,0,0,0,0,0,0,2,3,0
Peats Ridge,0.0008,0,0,0,1,0,0,0,0,0,0
Pemulwuy,0.0266,5,2,0,0,0,0,0,9,7,0
Pendle Hill,0.0258,1,2,0,3,0,0,0,7,12,2
Pennant Hills,0.1109,7,5,0,13,1,1,1,44,25,1
Penrith,0.2911,40,56,11,9,3,10,2,83,33,4
Penshurst,0.1318,15,17,3,10,1,5,1,41,24,2
Petersham,0.075,19,24,2,7,1,1,1,7,6,1
Phegans Bay,0.0,0,0,0,0,0,0,0,0,0,0
Phillip Bay,0.0088,1,0,0,1,0,0,0,4,1,0
Picnic Point,0.0461,3,0,0,4,0,0,0,22,8,0
Pitt Town,0.0093,0,0,0,1,0,1,0,4,3,0
Pitt Town Bottoms,0.0024,0,0,0,1,0,0,0,1,0,0
