suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
Belfield,0.0276,0,1,1,5,0,0,0,12,4,0
Bella Vista,0.1222,6,19,2,6,2,2,0,41,28,2
Bellevue Hill,0.0764,12,13,1,7,0,3,0,19,13,2
Belmore,0.0783,5,15,0,12,2,3,0,23,10,0
Belrose,0.1016,9,6,2,9,0,2,1,34,28,5
Berala,0.0397,1,1,0,5,0,0,0,16,13,0
Berkshire Park,0.0044,0,0,0,0,0,0,0,2,2,0
Berowra,0.023,2,3,0,3,0,2,1,6,7,0
Berowra Heights,0.0192,2,2,0,4,0,1,0,5,5,0
Berowra Waters,0.0112,1,2,0,2,0,0,0,3,2,0
Berrilee,0.0077,1,1,0,0,0,0,0,3,1,0
Beverley Park,0.0263,1,3,0,1,1,0,0,10,7,0
Beverly Hills,0.1213,3,27,0,6,0,2,1,39,25,2
Bexley,0.0995,4,6,1,19,1,1,0,37,19,1
Bexley North,0.034,1,2,1,2,0,1,1,15,5,1
Bickley Vale,0.0008,0,0,0,1,0,0,0,0,0,0
Bidwill,0.0441,0,0,0,4,0,0,0,22,10,0
Bilgola Beach,0.0027,1,0,0,0,0,0,0,1,0,0
Bilgola Plateau,0.0191,2,0,0,1,0,0,0,9,3,0
Birchgrove,0.0315,1,0,0,1,0,0,0,16,7,0
Birrong,0.0232,0,0,0,3,0,0,0,10,5,3
Blackett,0.0187,0,0,0,3,0,0,0,8,4,2
Blacktown,0.2676,15,18,1,14,0,5,2,105,74,4
Blackwall,0.0076,0,0,0,0,0,0,0,4,2,0
Blair Athol,0.0027,1,0,0,0,0,0,0,1,0,0
Blairmount,0.0173,0,0,0,4,0,0,0,9,0,0
Blakehurst,0.0608,3,5,0,6,0,2,1,25,10,0
Blaxlands Ridge,0.0038,0,0,0,0,0,0,0,2,1,0
Bligh Park,0.0085,0,0,0,4,0,0,0,3,1,0
Bondi,0.1243,43,41,4,1,0,5,1,10,5,0
Bondi Beach,0.1555,55,55,1,5,0,5,1,10,5,0
Bondi Junction,0.0644,18,13,5,5,3,6,1,9,3,0
Bonnet Bay,0.0187,1,0,0,2,0,0,0,9,3,0
Bonnyrigg,0.0918,2,15,0,6,0,1,1,34,19,0
Bonnyrigg Heights,0.0595,1,0,0,3,0,0,0,30,14,0
Booker Bay,0.0016,0,0,0,0,0,0,0,1,0,0
Bossley Park,0.0624,1,4,1,7,0,0,0,26,12,2
Botany,0.0276,4,0,0,5,0,1,0,10,4,1
Bow Bowing,0.0091,0,0,0,0,0,0,0,5,2,0
Bowen Mountain,0.0016,0,0,0,0,0,0,0,1,0,0
Box Head,0.0164,0,1,1,2,0,0,0,6,5,0
Box Hill,0.0189,1,0,0,1,0,0,0,10,2,0
Bradbury,0.0536,3,4,1,8,3,0,0,22,2,1
Breakfast Point,0.0129,1,0,1,1,0,0,0,6,1,0
Brighton-Le-Sands,0.0669,10,20,0,4,0,2,1,15,5,0
Bringelly,0.0058,0,1,0,1,0,0,0,2,1,0
Bronte,0.0432,7,4,0,6,1,1,0,13,7,0
Brooklyn,0.0228,5,4,0,2,0,1,0,5,4,0
Brookvale,0.0586,21,7,5,4,0,3,1,8,6,2
Bundeena,0.014,1,1,0,1,0,1,1,5,3,1
Bungarribee,0.0317,2,1,0,1,0,0,0,11,13,3
Burraneer,0.0135,2,0,0,4,0,0,0,4,3,0
Burwood,0.0584,5,12,0,7,2,3,1,16,6,2
Burwood Heights,0.0008,0,0,0,1,0,0,0,0,0,0
Busby,0.0254,0,0,0,3,0,0,0,13,4,0
Cabarita,0.0148,0,2,0,0,0,0,0,5,6,1
Cabramatta,0.1399,17,41,4,7,1,4,1,29,17,3
Cabramatta West,0.0285,0,4,0,5,0,0,0,10,6,0
Caddens,0.0246,2,1,0,1,0,0,1,12,2,0
Calga,0.0,0,0,0,0,0,0,0,0,0,0
Cambridge Gardens,0.0118,0,1,0,1,0,0,0,5,3,0
Cambridge Park,0.0274,0,0,0,4,0,1,0,12,7,1
Camden,0.0625,2,6,0,3,1,2,1,26,10,3
Camden South,0.0381,0,0,0,0,0,0,0,19,12,1
Camellia,0.0189,5,0,0,1,0,0,0,6,3,2
Cammeray,0.069,5,18,1,5,0,2,0,18,10,1
Campbelltown,0.1506,18,20,2,17,3,2,2,51,9,3
Camperdown,0.2218,44,41,1,6,3,4,1,63,16,6
Campsie,0.1123,3,17,3,7,2,2,1,42,16,2
Canada Bay,0.0083,0,0,0,1,0,0,0,4,1,1
Canley Heights,0.0751,5,21,1,4,0,1,0,21,9,0
Canley Vale,0.1003,5,17,0,6,1,1,1,37,14,1
Canoelands,0.0013,0,1,0,0,0,0,0,0,0,0
Canterbury,0.0657,3,10,3,4,0,1,0,22,13,1
Caringbah,0.1099,17,19,9,12,3,5,2,24,10,3
Caringbah South,0.0988,16,16,4,11,0,6,2,23,14,2
Carlingford,0.1951,2,15,4,18,1,4,6,85,29,2
Carlton,0.0583,1,8,2,7,1,0,1,20,12,0
Carnes Hill,0.0376,5,2,0,3,0,2,1,10,12,5
Carramar,0.0373,1,3,1,1,1,0,0,18,3,0
Carss Park,0.0232,2,1,0,3,0,1,0,10,2,0
Cartwright,0.0261,0,1,1,4,0,0,0,12,3,0
Castle Cove,0.0328,6,1,3,3,0,0,1,10,6,0
Castle Hill,0.2845,21,31,3,23,2,9,2,100,54,9
Castlecrag,0.0318,2,1,0,2,1,0,1,15,4,0
Castlereagh,0.0469,5,3,2,9,0,0,0,15,7,1
Casula,0.084,4,5,2,7,0,2,2,34,18,0
Catherine Field,0.0468,2,0,0,3,0,0,0,22,11,1
Cattai,0.0039,0,0,0,1,0,0,0,2,0,0
Cawdor,0.057,0,0,0,5,1,0,0,25,20,1
Cecil Hills,0.0521,2,0,0,5,0,0,0,24,12,1
Cecil Park,0.0403,0,0,0,4,0,0,0,20,7,2
Centennial Park,0.0392,8,11,0,1,0,0,0,6,10,0
Chatswood,0.3753,83,129,15,10,2,12,2,47,27,5
Chatswood West,0.0194,1,0,0,0,0,0,0,10,3,1
Cheero Point,0.0,0,0,0,0,0,0,0,0,0,0
Cheltenham,0.0241,1,0,0,2,0,0,0,10,9,0
Cherrybrook,0.0869,3,4,0,9,0,2,0,35,24,1
Chester Hill,0.0896,2,7,2,10,0,4,1,32,24,3
Chifley,0.0236,1,2,0,3,1,0,1,8,5,2
Chippendale,0.1564,48,56,6,1,0,1,2,12,8,3
Chipping Norton,0.1192,2,7,2,7,0,0,0,58,13,2
Chiswick,0.014,0,0,0,1,0,0,0,8,1,0
Chullora,0.0121,0,1,1,1,0,0,0,5,2,0
Church Point,0.0132,2,0,0,0,0,0,0,7,0,0
Claremont Meadows,0.0416,2,0,0,4,0,0,0,21,5,0
Clarendon,0.0221,0,0,0,2,0,0,0,9,7,3
Clareville,0.0106,1,0,0,0,0,0,0,6,0,0
Claymore,0.0165,0,0,0,3,0,0,0,9,0,0
Clemton Park,0.0143,0,2,2,1,0,0,0,5,1,1
Clontarf,0.0178,5,1,0,2,0,1,0,5,1,1
Clovelly,0.0224,2,1,0,2,0,0,0,9,5,0
Clyde,0.0027,1,0,0,0,0,0,0,1,0,0
Coasters Retreat,0.0,0,0,0,0,0,0,0,0,0,0
Cobbitty,0.0632,2,1,1,4,0,0,1,28,17,1
Cogra Bay,0.0,0,0,0,0,0,0,0,0,0,0
Colebee,0.0214,3,1,1,1,0,1,0,7,6,0
Collaroy,0.0558,14,6,1,2,0,2,0,16,5,2
Collaroy Plateau,0.0208,2,2,0,4,0,0,0,7,2,1
Colo,0.0035,1,0,0,1,0,0,0,1,0,0
Colyton,0.0594,0,0,0,3,0,1,0,32,10,0
Como,0.0227,5,2,0,3,0,1,0,6,4,0
Concord,0.0959,5,14,2,9,2,1,1,30,18,6
Concord West,0.0899,11,16,2,6,2,2,0,27,9,2
Condell Park,0.0427,0,0,1,6,1,0,0,18,11,2
Connells Point,0.028,0,2,0,2,0,0,0,12,8,0
Constitution Hill,0.0129,0,0,0,1,0,0,1,6,4,0
Coogee,0.0858,17,28,1,4,0,1,0,15,6,0
Cottage Point,0.0024,1,1,0,0,0,0,0,0,0,0
Cowan,0.0208,2,3,0,4,0,1,0,6,3,0
Cranebrook,0.0951,5,3,3,7,0,1,0,41,19,1
Cremorne,0.1262,18,37,1,4,1,3,0,28,15,1
Cremorne Point,0.0156,1,0,0,0,0,0,0,8,3,0
Cromer,0.0513,3,2,0,6,0,1,1,22,6,3
Cronulla,0.0866,25,19,3,7,1,3,1,12,9,1
Crows Nest,0.0827,18,32,1,4,1,2,0,9,3,2
Croydon,0.1323,19,27,5,11,1,7,1,30,19,3
Croydon Park,0.058,0,3,0,5,1,2,0,26,13,0
Cumberland Reach,0.0,0,0,0,0,0,0,0,0,0,0
Curl Curl,0.0225,2,0,0,4,1,1,0,8,4,2
Currans Hill,0.0403,0,0,0,4,0,0,0,20,7,2
Currawong Beach,0.0,0,0,0,0,0,0,0,0,0,0
Daceyville,0.0146,1,0,0,4,0,0,0,5,3,1
Daleys Point,0.0088,1,0,0,1,0,0,0,4,1,0
Dangar Island,0.0033,1,0,0,0,0,0,0,1,1,0
Darling Point,0.0443,7,9,4,2,0,0,0,11,4,0
Darlinghurst,0.3229,109,99,12,4,6,6,3,33,8,2
Darlington,0.0717,18,9,0,1,0,0,2,23,3,2
Davidson,0.0214,1,0,0,3,0,0,0,9,6,0
Davistown,0.0074,0,0,0,1,0,0,0,3,3,0
Dawes Point,0.0383,5,11,1,0,0,0,0,11,1,0
Dean Park,0.0172,0,0,0,3,0,0,0,7,6,0
Dee Why,0.0838,20,14,1,6,1,5,1,19,9,1
Denham Court,0.0337,1,0,0,7,0,0,0,14,8,0
Denistone,0.0353,0,0,0,3,1,0,0,19,4,0
Denistone East,0.0288,0,0,0,2,1,0,0,15,5,0
Denistone West,0.0132,0,0,0,0,0,0,0,8,1,0
Dharruk,0.029,1,4,0,3,0,1,0,10,7,0
Dolans Bay,0.0016,0,0,0,0,0,0,0,1,0,0
Dolls Point,0.0074,0,1,0,1,0,0,0,3,1,0
Doonside,0.0888,2,4,1,5,0,1,1,36,28,3
Double Bay,0.0725,18,15,5,3,2,2,1,13,5,2
Dover Heights,0.014,1,0,0,2,0,0,0,6,3,0
Drummoyne,0.0725,7,7,1,3,0,3,0,30,6,1
Duffys Forest,0.0036,0,0,0,3,0,0,0,0,1,1
Dulwich Hill,0.0762,9,2,0,10,0,0,1,31,11,0
Dundas,0.0529,2,1,0,4,0,0,0,25,10,1
Dundas Valley,0.048,2,1,0,4,1,0,0,24,4,1
Dural,0.1041,7,5,2,14,0,4,2,36,28,2
Eagle Vale,0.0348,0,0,0,5,0,0,2,19,1,0
Earlwood,0.2014,22,29,5,13,0,4,2,60,45,2
East Gosford,0.0252,4,3,0,4,0,0,0,8,2,0
East Hills,0.0235,0,0,0,3,0,0,0,11,6,0
East Killara,0.0243,2,0,0,3,0,2,1,8,9,1
East Kurrajong,0.0077,0,0,0,3,0,0,0,3,1,0
East Lindfield,0.0216,1,0,0,1,0,1,1,9,6,2
East Ryde,0.0129,0,0,0,1,1,1,0,6,3,0
Eastern Creek,0.0841,6,3,1,3,1,0,0,36,16,5
Eastgardens,0.0109,3,1,0,1,0,0,1,3,1,0
Eastlakes,0.0321,2,0,0,2,0,0,0,16,5,0
Eastwood,0.1709,10,32,0,11,2,5,2,59,23,1
Ebenezer,0.0083,0,1,0,1,0,0,0,4,0,0
Edensor Park,0.0592,2,1,0,7,0,1,1,26,14,0
Edgecliff,0.0495,13,10,5,3,0,2,0,7,4,2
Edmondson Park,0.0599,1,7,1,5,0,1,0,24,10,1
Elanora Heights,0.0387,3,2,1,1,0,1,0,16,9,0
Elderslie,0.0536,0,1,0,5,1,0,0,26,11,0
Elizabeth Bay,0.0573,17,17,0,0,1,3,0,8,3,2
Elizabeth Hills,0.0131,0,0,0,1,0,0,0,7,2,0
Ellis Lane,0.0,0,0,0,0,0,0,0,0,0,0
Elvina Bay,0.0,0,0,0,0,0,0,0,0,0,0
Emerton,0.0299,2,5,1,4,0,1,0,8,5,2
Emu Heights,0.0276,2,0,0,1,0,0,0,14,4,0
Emu Plains,0.1112,11,9,2,6,0,1,1,44,17,1
Enfield,0.0142,0,0,0,2,0,0,0,6,4,1
Engadine,0.083,3,7,1,11,0,3,1,29,21,2
Englorie Park,0.0047,0,0,0,0,0,0,0,3,0,0
Enmore,0.0702,12,27,1,4,0,2,0,8,8,1
Epping,0.1455,8,17,3,9,0,4,1,54,30,0
Ermington,0.0836,3,2,0,3,0,1,1,42,14,0
Erskine Park,0.1095,4,5,1,8,0,2,1,50,19,0
Erskineville,0.1033,24,13,3,4,0,2,0,31,8,0
Eschol Park,0.0354,0,0,0,5,0,0,2,19,2,0
Ettalong Beach,0.0235,5,7,1,0,0,1,0,3,4,1
Eveleigh,0.0876,19,13,4,5,0,2,0,21,14,0
Fairfield,0.0914,5,4,1,8,1,3,2,40,13,1
Fairfield East,0.0416,2,1,2,3,1,0,0,18,5,3
Fairfield Heights,0.0175,0,0,0,1,0,1,0,8,6,0
Fairfield West,0.0767,2,0,0,5,0,1,0,37,19,0
Fairlight,0.0272,10,2,0,1,0,1,0,6,4,1
Fiddletown,0.0077,1,1,0,2,0,0,0,2,1,0
Five Dock,0.0841,9,15,2,8,0,3,1,22,16,2
Forest Glen,0.0,0,0,0,0,0,0,0,0,0,0
Forest Lodge,0.0876,14,13,2,3,0,1,1,28,11,0
Forestville,0.0851,8,10,6,7,0,3,1,27,12,2
Freemans Reach,0.032,1,0,0,4,0,0,0,14,9,0
Frenchs Forest,0.2174,20,21,14,16,1,5,3,70,42,6
Freshwater,0.0469,8,7,1,4,1,1,1,13,6,0
Gables,0.0167,0,0,0,2,0,0,0,8,3,1
Galston,0.0398,6,2,2,4,0,2,1,11,11,1
Georges Hall,0.0799,2,1,0,5,0,0,0,38,20,0
Gilead,0.0736,1,0,0,8,0,0,0,36,14,1
Girraween,0.0495,0,3,0,4,0,1,0,18,21,1
Gladesville,0.0551,1,5,1,7,0,0,2,20,11,4
Glebe,0.1504,33,27,3,7,0,4,1,37,19,0
Gledswood Hills,0.0739,4,2,0,4,1,1,0,34,14,1
Glen Alpine,0.0295,0,0,0,3,0,0,0,14,8,0
Glendenning,0.0405,0,0,0,3,0,0,0,19,13,0
Glenfield,0.0561,2,1,1,8,0,1,0,25,9,0
Glenhaven,0.0702,5,5,0,6,0,1,1,27,15,2
Glenmore Park,0.0836,3,3,1,12,0,0,0,34,19,1
Glenorie,0.0098,0,0,0,2,0,0,0,4,3,0
Glenwood,0.1148,5,15,2,6,0,2,0,42,26,1
Glenworth Valley,0.0006,0,0,0,0,0,0,0,0,0,1
Glossodia,0.0077,0,0,0,1,0,0,0,4,1,0
Gordon,0.0921,15,17,3,6,1,1,1,23,13,2
Gosford,0.0753,15,12,2,10,2,2,1,18,5,1
Grantham Farm,0.0115,2,0,0,1,0,0,0,5,1,0
Granville,0.0641,3,1,0,8,1,0,1,27,15,1
Grasmere,0.0148,0,0,0,0,0,0,0,9,1,0
Grays Point,0.0148,2,0,0,2,0,0,0,5,4,1
Great Mackerel Beach,0.0,0,0,0,0,0,0,0,0,0,0
Green Point,0.0706,4,6,1,10,1,1,1,25,14,1
Green Valley,0.0543,1,0,0,5,0,0,1,28,8,0
Greenacre,0.1224,6,8,4,14,0,1,1,43,33,3
Greendale,0.0032,0,0,0,0,0,0,0,2,0,0
Greenfield Park,0.0246,0,0,0,2,0,0,0,13,4,0
Greengrove,0.0016,0,0,0,0,0,0,0,1,0,0
Greenhills Beach,0.0039,0,0,0,1,0,0,0,2,0,0
Greenwich,0.06,12,2,0,5,5,3,1,19,10,1
Gregory Hills,0.0644,2,1,0,4,1,0,0,30,14,2
Greystanes,0.1375,8,6,0,6,0,1,1,52,53,1
Grose Vale,0.0098,0,0,0,2,0,0,0,4,3,0
Grose Wold,0.0066,0,0,0,1,1,0,0,3,1,0
Guildford,0.1073,0,3,2,12,2,4,1,47,25,0
Guildford West,0.0373,1,2,0,2,0,0,0,16,11,0
Gunderman,0.005,1,0,0,1,0,0,0,2,0,0
Gymea,0.0537,8,0,2,7,1,1,1,20,8,0
Gymea Bay,0.0194,2,0,0,1,0,0,0,8,5,1
Haberfield,0.104,11,17,3,8,0,3,1,31,15,3
Hammondville,0.0474,2,3,0,5,0,1,0,20,8,1
Hardys Bay,0.0035,1,0,0,1,0,0,0,1,0,0
Harrington Park,0.0707,1,2,0,4,0,1,0,30,24,2
Harris Park,0.0614,3,30,0,2,0,1,1,10,4,0
Hassall Grove,0.0211,0,0,0,2,0,0,0,10,6,0
Hawkesbury Heights,0.0016,0,0,0,0,0,0,0,1,0,0
Haymarket,0.232,66,109,4,1,0,4,4,9,1,1
Heathcote,0.0543,2,6,0,8,0,2,1,19,11,1
Hebersham,0.0378,0,0,0,2,0,0,0,19,10,0
Heckenberg,0.0288,0,7,0,1,0,0,0,11,3,0
Henley,0.0055,0,0,0,1,0,0,0,3,0,0
Hillsdale,0.011,1,1,0,1,0,1,0,4,2,0
Hinchinbrook,0.0424,1,2,0,7,0,0,1,17,10,0
Hobartville,0.0274,0,0,0,2,0,0,0,14,5,1
Holroyd,0.0165,0,0,0,3,0,0,0,7,5,0
Holsworthy,0.6948,22,42,4,77,2,6,8,303,105,9
Homebush,0.0769,13,12,1,6,0,0,1,20,15,1
Homebush West,0.0301,7,1,0,2,0,0,0,10,5,1
Horningsea Park,0.0233,0,0,0,1,0,0,1,11,8,0
Hornsby,0.177,29,30,10,16,4,9,1,39,29,1
Hornsby Heights,0.0432,3,2,1,3,0,2,0,16,13,0
Horsfield Bay,0.0,0,0,0,0,0,0,0,0,0,0
Horsley Park,0.0206,1,1,0,4,0,0,0,6,5,4
Hoxton Park,0.0203,0,1,0,5,0,0,0,6,8,1
Hunters Hill,0.0988,4,2,0,9,2,0,0,46,16,2
Huntingwood,0.0041,2,0,0,0,0,0,0,0,0,3
Huntleys Cove,0.0146,0,0,0,1,0,0,0,8,2,0
Huntleys Point,0.0087,0,0,0,1,0,0,0,5,0,0
Hurlstone Park,0.0216,0,0,0,5,0,0,0,8,8,0
Hurstville,0.1977,26,63,4,16,2,9,1,36,19,1
Hurstville Grove,0.0244,1,1,0,2,0,0,0,11,5,0
Illawong,0.0599,4,3,0,6,0,2,0,23,16,0
Ingleburn,0.0,0,0,0,0,0,0,0,0,0,0
Ingleside,0.0441,7,5,1,3,0,1,0,14,6,1
Jamisontown,0.0592,6,11,2,2,0,2,0,14,15,5
Jannali,0.0,0,0,0,0,0,0,0,0,0,0
Jordan Springs,0.0,0,0,0,0,0,0,0,0,0,0
Kangaroo Point,0.0,0,0,0,0,0,0,0,0,0,0
Kareela,0.0,0,0,0,0,0,0,0,0,0,0
Kariong,0.0,0,0,0,0,0,0,0,0,0,0
Kearns,0.0,0,0,0,0,0,0,0,0,0,0
Kellyville,0.1345,8,8,0,13,1,3,0,52,34,1
Kellyville Ridge,0.0,0,0,0,0,0,0,0,0,0,0
Kemps Creek,0.0195,1,2,0,7,0,0,0,5,2,2
Kensington,0.1996,32,68,3,2,1,4,2,41,11,1
Kenthurst,0.0,0,0,0,0,0,0,0,0,0,0
Kentlyn,0.0365,0,0,0,4,0,0,0,18,8,0
Killara,0.0,0,0,0,0,0,0,0,0,0,0
Killarney Heights,0.0726,10,7,4,6,0,2,1,22,12,2
Kings Langley,0.1013,1,5,0,6,1,1,1,42,34,1
Kings Park,0.0205,1,3,0,1,0,1,0,8,3,0
Kingsford,0.1194,12,37,1,9,4,1,1,28,7,1
Kingsgrove,0.0995,7,7,2,10,1,5,0,38,17,1
Kingswood,0.1128,8,4,0,10,3,2,1,48,19,2
Kirkham,0.0121,0,0,0,1,0,0,0,6,2,1
Kirrawee,0.1033,14,14,6,9,1,3,4,28,16,2
Kirribilli,0.0513,12,13,0,2,0,2,0,10,6,0
Kogarah,0.0863,12,14,1,9,4,5,1,23,12,0
Kogarah Bay,0.0186,0,0,1,0,0,0,0,10,3,0
Koolewong,0.0068,1,1,0,0,0,0,0,2,2,0
Ku-ring-gai Chase,0.0,0,0,0,0,0,0,0,0,0,0
Kurnell,0.0369,2,1,1,4,0,1,0,16,5,1
Kurraba Point,0.0069,0,0,0,0,0,0,0,4,1,0
Kurrajong Heights,0.0085,1,3,0,1,0,0,0,1,2,0
Kurrajong Hills,0.0178,3,2,0,2,0,1,0,6,1,0
Kyeemagh,0.0203,1,0,0,2,0,0,0,8,7,1
Kyle Bay,0.0093,0,2,0,1,0,0,0,3,2,0
La Perouse,0.0161,3,3,0,0,1,0,0,5,1,0
Lakemba,0.0732,3,15,1,11,0,2,1,21,12,0
Lalor Park,0.0482,0,1,0,5,0,0,1,22,13,0
Lane Cove,0.0906,11,15,5,5,0,2,1,25,15,2
Lane Cove North,0.0594,4,1,2,4,0,0,1,24,15,2
