X,Y,OBJECTID,Name,Type
16830910.7024155,-4015122.9894911,133,KU Sunbeam Preschool Playground,Playground
16831103.5736602,-4012197.10518461,134,KU Ultimo Children's Centre Playground,Playground
16831252.7845617,-4012879.21581522,135,Magic Pudding Child Care Centre Playground,Playground
16831898.3220689,-4015186.62916614,137,SDN Lois Barker Child Care Centre Playground,Playground
16832846.920632,-4013603.00573454,138,SDN Surry Hills Child Care Centre Playground,Playground
16833037.3763834,-4013501.34610727,139,Surry Hills Library and Community Centre Playground,Playground
16832236.1161679,-4016525.76393229,140,Waranara Early Education Centre Playground,Playground
16833427.6410812,-4012356.42179802,141,Goodstart East Sydney Early Learning Centre Playground,Playground
16832174.8102807,-4013623.66165083,142,Prince Alfred Park Playground A,Playground
16831847.4543316,-4013831.74710661,143,Prince Alfred Park Fitness Station A,Fitness station
16832250.6674073,-4014730.15771351,144,Redfern Park Playground C,Playground
16833391.4111582,-4012319.82672519,145,Frances Newton Playground ,Playground
16832006.5565613,-4015331.31323857,146,Waterloo Park & Mount Carmel Fitness Station,Fitness station
16833562.3317755,-4011615.61804179,147,Bourke Street Park Fitness Station,Fitness station
16830630.3958831,-4010512.69380899,148,Pirrama Park Fitness Station,Fitness station
16832693.3711229,-4017121.00970045,149,Garraway Park Playground,Playground
16832693.9465468,-4017168.4330423,150,Garraway Park Fitness Station,Fitness station
16830588.1548361,-4015363.55762699,151,Dibbs Street Reserve Playground,Playground
16832452.6828987,-4016552.74697752,152,Gunyama Park Fitness Station ,Fitness station
16832890.5171182,-4012781.03771105,153,James Hilder Reserve Fitness Station,Fitness station
16833178.1833502,-4011728.99816602,154,Cook & Phillip Park Playground B,Playground
16833201.4794196,-4011740.49264686,155,Cook & Phillip Park Playground C,Playground
16829757.6917197,-4015307.9443291,156,Maureen Oliver Reserve Playground,Playground
16829132.2984552,-4013445.41215324,157,The Western Block Fitness Station,Fitness station
16832293.9065559,-4017246.03742655,557,Butterscotch Park Playground A,Playground
16832261.3575334,-4017256.77010184,558,Butterscotch Park Playground C,Playground
16832335.2955675,-4017254.9122097,559,Butterscotch Park Playground B,Playground
16832218.1349743,-4015977.89376797,960,906 Bourke Street (Hyperion Apartments Zetland),Playground
16832212.7191009,-4015946.19221096,961,906 Bourke Street (Hyperion Apartments Zetland),Playground
16833324.066487,-4014037.25378794,962,Wimbo Reserve Playground,Playground
